ratio,tag,x,y,sector,skill
0.24,IBM RUP,0.05353,0.01278,,
1.53,Juniper,0.02111,0.0324,I.T. Administration,Juniper
0.38,Macros,0.04256,0.01604,,
0.61,JavaServer Faces,0.03327,0.02041,,
0.55,SOP,0.03514,0.01929,Data,SOP
0.24,CEO,0.05362,0.01262,,
2.61,Project implementation,0.01605,0.04192,,
0.7,Management skills,0.03103,0.0216,,
1.03,SNMP,0.02556,0.0262,I.T. Administration,SNMP
0.88,Process analysis,0.02764,0.02422,,
1.03,Spring MVC,0.02552,0.0262,Software Development,Spring MVC
1.67,Federal government,0.02,0.03343,,
1.38,BPM,0.02196,0.03041,Software Development,BPM
1.06,Sensors,0.02507,0.02652,Data,Sensors
0.78,ORM,0.0292,0.02271,Data,ORM
0.51,SD,0.03581,0.01842,,
0.97,VMware vSphere,0.02604,0.02533,,
0.29,Real estate,0.04745,0.0139,,
0.51,GAP,0.03597,0.01826,,
0.36,ADO.NET,0.04279,0.01532,Software Development,ADO.NET
0.27,PDF,0.04886,0.01334,,
0.73,Dynamics,0.02984,0.02184,Hardware/Embedded Software,Dynamics
0.29,HP LoadRunner,0.04766,0.01366,,
0.68,Functional design,0.03083,0.02104,,
0.7,Facets,0.03048,0.02128,,
0.25,Symantec,0.05135,0.01262,Industry-specific,Symantec
1.49,IT service management,0.02082,0.03105,,
1.87,QoS,0.01858,0.03478,I.T. Administration,QoS
0.51,Microsoft SQL Server DBA,0.0357,0.0181,,
1.33,Data link layer,0.02199,0.02922,,
0.45,DOM,0.03778,0.01699,Software Development,DOM
0.11,IBM Notes,0.07621,0.00842,,
4.25,Ruby on Rails,0.01228,0.05217,Software Development,Ruby on Rails
0.86,RF,0.02724,0.0235,Software Development,RF
0.48,Team management,0.0364,0.01755,,
0.27,Cost reduction,0.04803,0.01318,,
0.58,iPad,0.03289,0.01898,,
0.72,Project development,0.02946,0.02112,,
1.72,GitHub,0.01902,0.03271,,
0.41,VBA,0.03866,0.01604,Data,VBA
1.34,Problem management,0.02138,0.02874,,
0.16,Traceability matrix,0.0614,0.00993,,
0.47,Financial analysis,0.03582,0.01699,,
0.57,SAP BI,0.03273,0.01858,Management,SAP BI
1.32,Performance analysis,0.02139,0.02827,,
3.57,Linux administration,0.01299,0.04645,,
0.66,SCM,0.03016,0.01985,,
2.05,Relationship building,0.01704,0.03486,,
0.45,Antivirus,0.03615,0.01628,I.T. Administration,Antivirus
0.25,Administrative support,0.0485,0.01207,,
0.28,BlackBerry,0.04572,0.01278,,
0.28,Curriculum,0.046,0.0127,,
0.3,POS,0.04375,0.01334,Management,POS
0.5,Cubes,0.034,0.01715,Software Development,Cubes
3.87,Responsive design,0.01227,0.04748,,
0.32,Microsoft Windows 8,0.04258,0.01342,,
2.49,Intrusion detection,0.01513,0.03764,,
0.4,Ubuntu,0.03739,0.01509,Software Development,Ubuntu
0.59,Wireless network,0.03086,0.01818,,
1.38,NetApp,0.02013,0.02771,I.T. Administration,NetApp
0.76,Brokerage,0.02697,0.02056,Management,Brokerage
0.48,Thread,0.03388,0.0162,,
0.65,SOW,0.02899,0.0189,,
1.22,Apex,0.02119,0.02581,,
0.99,Conflict resolution,0.02348,0.02326,,
0.31,OLTP,0.04176,0.01302,Data,OLTP
9.3,Mobile development,0.0076,0.07075,Software Development,Mobile development
1.76,Information architecture,0.01746,0.03065,,
2.02,System documentation,0.01625,0.03287,,
1.39,Strategic management,0.01958,0.02723,,
0.54,SAP ABAP,0.03129,0.01699,Management,SAP ABAP
0.93,Adobe CS,0.02384,0.02223,,
0.45,Data cleansing,0.03439,0.0154,,
1.09,Corrective and preventive action,0.02204,0.02398,,
0.61,CAD,0.02942,0.01794,Design,CAD
0.73,Secure Shell,0.02677,0.01961,,
0.28,Bug tracking,0.04346,0.01207,,
3.07,Apache Hive,0.01302,0.03994,,
0.29,SAP FI,0.04175,0.01231,Management,SAP FI
0.56,ALM,0.03014,0.01699,Management,ALM
0.48,IBM WebSphere Application Server,0.0326,0.01564,,
0.74,Data services,0.0261,0.01929,,
0.56,IBM InfoSphere DataStage,0.02989,0.01683,,
0.45,CPU,0.0332,0.01509,,
0.21,RAD,0.04825,0.01032,Software Development,RAD
15.69,IT strategy,0.00563,0.08837,,
0.81,VMware ESX,0.02476,0.02009,I.T. Administration,VMware ESX
2.96,Software development methodology,0.01295,0.03835,,
1.51,Security analysis,0.01809,0.02739,,
0.43,Instructional design,0.03377,0.01461,,
1.03,Tier 1,0.02178,0.02239,,
3.07,Microsoft Windows Azure,0.01258,0.03867,,
1.88,F5,0.01598,0.03009,I.T. Administration,F5
0.29,Black-box testing,0.04084,0.01175,,
1.13,Network layer,0.02051,0.02311,,
0.36,AutoCAD,0.03601,0.01302,Design,AutoCAD
0.31,JCL,0.03904,0.01199,I.T. Administration,JCL
0.87,Requirements management,0.0232,0.02017,,
2.76,Machine learning,0.01293,0.03565,,
0.6,Physical data model,0.02773,0.01659,,
1.71,Software maintenance,0.0164,0.02803,,
0.93,Hyperion,0.02216,0.02064,Data,Hyperion
0.9,OBIEE,0.02249,0.02025,Data,OBIEE
0.35,POC,0.03589,0.01262,,
2.44,Cross-browser,0.01363,0.03319,,
0.1,President,0.06684,0.00675,,
0.78,Query optimization,0.02401,0.01874,,
0.5,Webforms,0.02992,0.01501,,
0.52,OEM,0.0293,0.01524,Software Development,OEM
0.09,Flat file,0.07106,0.00627,,
1.16,CentOS,0.01951,0.02271,Software Development,CentOS
0.35,Data extraction,0.0355,0.01247,,
1.19,JPA,0.01915,0.02287,,
0.5,Management reporting,0.02938,0.01477,,
1.35,Biotechnology,0.01789,0.02414,Industry-specific,Biotechnology
0.73,Windows Forms,0.02438,0.01771,Software Development,Windows Forms
0.49,Sales operations,0.02964,0.01453,,
1.71,Nexus,0.01585,0.02716,Industry-specific,Nexus
0.9,Investment banking,0.02179,0.01953,,
0.26,Chemicals,0.04025,0.0104,,
0.74,Data transmission,0.02375,0.01755,,
0.6,Hard working,0.02635,0.0158,,
1.33,EIGRP,0.01767,0.0235,I.T. Administration,EIGRP
1.03,Fixed income,0.0201,0.02064,,
11.05,Puppet,0.00612,0.06757,Software Development,Puppet
0.47,Business model,0.02975,0.0139,,
3.1,MapReduce,0.01146,0.03549,Data,MapReduce
0.41,CA Workload Automation AE,0.03141,0.01294,,
1.56,Epic,0.01609,0.02509,,
1.54,Product design,0.01619,0.02493,,
1.1,Geographic information system,0.01918,0.02104,,
1.33,Benefits management,0.0174,0.02311,,
0.43,Medicaid,0.03062,0.01302,Management,Medicaid
0.98,Data storage,0.02014,0.01977,,
0.98,CheckPoint,0.02019,0.01969,,
0.64,HR management system,0.02494,0.01588,,
0.48,Search engines,0.02869,0.01374,,
1.84,ESB,0.01459,0.02692,Software Development,ESB
2.92,LAMP,0.01157,0.03382,Software Development,LAMP
18.03,Process outsourcing,0.00466,0.08393,,
0.75,Flowchart,0.0229,0.01707,,
0.47,3D computer graphics,0.02889,0.0135,,
2.94,Solution delivery,0.0115,0.03382,,
